sku,nome,categoria,subcategoria,codigo,descricao_tecnica,aplicacao,publico_indicado,diferencial,risco_ou_cuidado,argumento_venda,objecao_comum,resposta_objecao,venda_casada,source_url,status_dados
POL-001,Kers W1000 Nano Politriz Híbrida 300W,Politrizes,Nano híbrida,7908216810044,Nano politriz híbrida 300W.,"Polimento em áreas estreitas, cantos e detalhes.",Detailer profissional; estética automotiva,Formato nano para precisão e acesso a áreas pequenas.,Escolher boina e adaptadores corretamente.,Complementa a politriz principal e resolve áreas onde máquina grande perde precisão.,"Já tenho uma politriz comum, por que preciso dessa?",Porque ela acelera detalhes finos e reduz retrabalho onde a politriz maior não entra bem.,Kit de boinas nano; cones; compostos; suportes,https://www.kers.com.br/kers-politriz,público
POL-002,Kers Car Shine 30W 4000 mAh,Politrizes,Enceramento / descontaminação,,Máquina 30W com bateria 4000 mAh para descontaminação de pintura e enceramento.,Descontaminação leve e enceramento.,Profissional; hobista,Leveza e praticidade de uso.,"Alinhar expectativa: acabamento e enceramento, não corte pesado.",Conforto e mobilidade para tarefas repetitivas de acabamento.,Será que 30W é suficiente?,"Para enceramento e descontaminação leve, o ganho principal é mobilidade, conforto e repetibilidade.",Clay bar; aplicadores; microfibras; ceras,https://www.kers.com.br/kers-politriz,público
POL-003,Kers Top Cut 12V Nano Politriz Híbrida 230W,Politrizes,Nano híbrida,7908216810044,Nano politriz híbrida 12V de 230W.,"Correções pontuais, áreas estreitas e acabamento técnico.",Profissional; detailer avançado,Portabilidade e foco em correções localizadas.,Explicar autonomia e aplicação correta.,Excelente como segunda máquina para elevar produtividade em detalhes finos.,Não seria melhor comprar só uma máquina maior?,A maior resolve área ampla; a nano acelera detalhe fino e reduz retrabalho.,Kit boinas nano; suportes; compostos,https://www.kers.com.br/kers-politriz,público
POL-004,Kers Politriz DH Dual Head 780W,Politrizes,Dual Head,,"Politriz 780W com troca entre sistemas rotativo e roto orbital, adaptadores 8 e 12mm e suportes 1, 2 e 3 polegadas.",Polimento técnico com alternância de sistema.,Profissional; detailer,Troca rápida entre rotativo e roto orbital; cabo de 5m; 12 meses de garantia.,Treinamento é importante para explorar os modos corretamente.,Uma máquina versátil que substitui múltiplas soluções no carrinho do detailer.,Não é complexa demais para o dia a dia?,A versatilidade reduz troca de equipamento e aumenta produtividade quando o operador domina os modos.,"Boinas 1, 2 e 3 pol.; compostos; organizadores",https://www.kers.com.br/kers-politriz,público
POL-005,Kers Mini Politriz Rotativa R75 780W,Politrizes,Mini rotativa,,"Mini politriz rotativa 780W, 6 velocidades, rosca 14mm.",Correção em áreas pequenas e localizadas.,Profissional; detailer,Projeto ergonômico para redução de fadiga e velocidade constante.,"Como rotativa, exige técnica para evitar excesso de calor.",Perfeita para pontos onde a máquina grande atrapalha e o acabamento precisa de controle.,Rotativa não é arriscada?,"É uma ferramenta de precisão: com técnica e boina certa, entrega produtividade em áreas críticas.",Boinas pequenas; compostos; suportes,https://www.kers.com.br/kers-politriz,público
POL-006,Kers Mini Roto Orbital D10 780W,Politrizes,Mini roto orbital,,"Roto orbital compacta 780W, suporte de 3"", órbita 10mm, cabo de silicone 5m e peso 2,8 kg.","Áreas difíceis, acabamento fino e motos.",Profissional; hobista exigente,Mais segurança em áreas pequenas com baixa vibração e ruído.,"Explicar que é focada em áreas pequenas, não em carro inteiro.",Indicação forte para quem quer segurança e controle em detalhes e motos.,Dá conta de carro inteiro?,Ela é ótima para detalhes e áreas menores; para carro inteiro o ideal é complementar com máquina maior.,Boinas 3 pol.; compostos; kit nano,https://www.kers.com.br/kers-politriz,público
POL-007,Kers Mini EXS 710W Roto Orbital Forçada,Politrizes,Mini roto orbital forçada,,"Roto orbital forçada 710W, suporte 3"", órbita 5mm e 5m de cabo.",Polimento em áreas pequenas com mais torque.,Profissional,Torque elevado para ferramenta compacta.,Explicar diferença entre forçada e livre.,Entrega mais força em regiões pequenas sem perder o formato compacto.,Qual a diferença para uma mini roto comum?,A forçada entrega mais tração e constância em situações em que a livre perde rendimento.,Boinas 3 pol.; compostos de corte e refino,https://www.kers.com.br/kers-politriz,público
POL-008,Politriz Roto Orbital D12 780W,Politrizes,Roto orbital,,"Roto orbital D12 com órbita 12mm, potência 780W, versões 220V e 127V e peso 2,4 kg.",Polimento geral com foco em durabilidade.,Profissional; hobista,"Leve, potente e com proteção contra poeira para vida útil prolongada.",Alinhar voltagem correta.,"Boa combinação de peso, potência e durabilidade para uso recorrente.",Por que ela vale mais do que outras?,"Porque combina leveza, proteção contra poeira e motor de 780W para trabalho consistente.",Boinas 5 pol.; compostos; microfibras,https://www.kers.com.br/kers-politriz,público
POL-009,Kers Politriz Roto Orbital 25Years,Politrizes,Roto orbital,,"Máquina com órbita 15mm, suporte 5"", visor digital e potência 1000W.",Polimento com foco em performance e ergonomia.,Profissional,"Órbita 15mm, 1000W e visor digital.","É máquina de performance, acima do básico.",Modelo premium para quem busca produtividade e experiência superior.,É só estética por ser edição especial?,"Não: além do visual, ela combina 15mm, 1000W e visor digital para performance real.",Boinas 5 pol.; compostos premium,https://www.kers.com.br/kers-politriz,público
POL-010,"Kers Politriz Roto Orbital RS 900W 5""",Politrizes,Roto orbital,,"Roto orbital 900W, boina 5"", órbita 15mm e cabo 5m.",Polimento em área ampla com boa órbita.,Profissional,Órbita 15mm e 900W em conjunto equilibrado.,Checar tensão 230V com o cliente.,"Boa relação entre potência, órbita e cabo longo para operações de polimento.",Funciona bem para rotina pesada?,"Sim, desde que a rede elétrica seja compatível e a manutenção seja correta.",Boinas 5 pol.; compostos; extensão organizada,https://www.kers.com.br/kers-politriz,público
POL-011,Kers Roto Orbital Forçada EXS V3 1200W,Politrizes,Roto orbital forçada,,"EXS V3 1200W, rotação forçada engrenada, órbita 8mm e 6"".",Corte/refino com alta força e constância.,Profissional,Motor 1200W e sistema de acionamento de força.,Explicar bem o perfil: alto desempenho.,Para quem quer força e constância em serviço intenso.,É forte demais para meu uso?,Para uso profissional intenso ela traz ganho claro de produtividade e constância.,Boinas 6 pol.; compostos de corte,https://www.kers.com.br/kers-politriz,público
POL-012,"Politriz Rotativa RK 1250W 5""",Politrizes,Rotativa,,"Rotativa 1250W 5"", com cabo siliconado 5m e circuito constante de potência e velocidade.",Corte pesado e correção com custo-benefício.,Profissional,Potência alta com proposta de custo-benefício.,Rotativa requer técnica para evitar marcas e excesso de calor.,Boa porta de entrada em rotativa para quem quer potência com preço competitivo.,Tenho medo de holograma.,"Com boina correta e técnica adequada, ela é ótima para corte; o refino vem na etapa seguinte.",Boinas de lã; compostos de corte e refino,https://www.kers.com.br/kers-politriz,público
BOI-001,"Kers Boina de 3"" Híbrida",Boinas e Suportes,Boina híbrida,7908216806870,Boina com fibras de lã para prevenir endurecimento e emaranhamento por resíduos e entregar acabamento brilhante.,Corte e acabamento em peças menores.,Profissional; detailer,Ajuda a manter performance e brilho sem aspecto fosco.,Orientar limpeza de boina e combinação com composto.,Boa para quem quer equilíbrio entre corte e acabamento em área pequena.,Boinas híbridas valem mais?,Valem quando o usuário quer produtividade sem abrir mão de acabamento.,Politriz 3 pol.; composto; limpador de boina,https://www.kers.com.br/boinas-e-suportes,público
BOI-002,"Kers Boina de 3"" Super Suave",Boinas e Suportes,Boina espuma 3,7908216806863,Boina 3 com velcro super resistente.,Acabamento final.,Profissional; hobista,Velcro resistente e foco em acabamento.,Explicar estágio correto do processo.,Ideal para entrega final e lustro em área pequena.,Não posso usar uma boina média para tudo?,"Pode, mas perde qualidade no acabamento final e aumenta risco de microdefeitos.",Politriz 3 pol.; composto de lustro,https://www.kers.com.br/boinas-e-suportes,público
BOI-003,"Kers Boina de 3"" Suave",Boinas e Suportes,Boina espuma 3,7908216806856,Boina 3 suave com velcro resistente.,Refino leve.,Profissional; hobista,Boa para transição entre corte leve e acabamento.,Não vender como boina universal.,Resolve bem etapa de refino sem agressividade excessiva.,Qual a diferença para a super suave?,A suave refina mais forte; a super suave foca mais no acabamento final.,Politriz 3 pol.; composto de refino,https://www.kers.com.br/boinas-e-suportes,público
BOI-004,"Kers Boina de 3"" Média",Boinas e Suportes,Boina espuma 3,7908216806849,Boina 3 média com velcro resistente.,Correção moderada.,Profissional,Versatilidade para correção moderada em peças pequenas.,Explicar que o resultado depende do composto.,Boa opção coringa para quem quer produtividade em pontos localizados.,Serve para tudo?,"É versátil, mas o ideal é combinar com boinas mais agressivas ou suaves conforme a etapa.",Politriz 3 pol.; composto médio,https://www.kers.com.br/boinas-e-suportes,público
BOI-005,"Kers Boina de 3"" Agressiva",Boinas e Suportes,Boina espuma 3,7908216806832,Boina 3 agressiva com velcro resistente.,Correção forte em áreas pequenas.,Profissional,Maior corte em peças pequenas.,Exige etapa posterior de refino/acabamento.,Boa para remoção mais pesada em zonas localizadas.,Não vai marcar demais?,Pode marcar se usada fora do contexto; com técnica certa ela economiza tempo de corte.,Composto de corte; boina suave de refino,https://www.kers.com.br/boinas-e-suportes,público
BOI-006,"Kers Boina de 3"" Super Agressiva",Boinas e Suportes,Boina espuma 3,7908216806825,Boina 3 super agressiva com velcro resistente.,Correção muito forte em áreas pequenas.,Profissional,Máximo corte da família 3 polegadas.,Usar somente quando há necessidade real e com técnica.,Ferramenta de produtividade para defeitos severos localizados.,Não é exagero?,Para defeitos severos localizados ela reduz muito o tempo da etapa de corte.,Composto de corte; boina de refino,https://www.kers.com.br/boinas-e-suportes,público
BOI-007,"Kers Boina Hyper Colmeia 6"" Suave",Boinas e Suportes,Hyper Colmeia 6,7908216807549,Linha Hyper com padrão hexagonal para distribuir o ar e reduzir calor superficial.,Refino em área ampla.,Profissional,"Polimento mais seguro, suave e frio.",Precisa estar alinhada à máquina e suporte corretos.,Excelente argumento técnico para venda premium.,Qual o benefício real da colmeia?,Menos calor superficial e polimento mais estável.,Politriz 6 pol.; composto de refino,https://www.kers.com.br/boinas-e-suportes,público
BOI-008,"Kers Boina Hyper Colmeia 6"" Média",Boinas e Suportes,Hyper Colmeia 6,7908216807532,Linha Hyper com padrão hexagonal para distribuir o ar e reduzir calor superficial.,Correção moderada em área ampla.,Profissional,Equilíbrio entre corte e segurança térmica.,Explicar etapa correta.,Boa para quem quer uma boina de mais performance com mais controle.,É muito técnica para o dia a dia?,Não; ela entrega uma experiência mais segura e eficiente quando bem aplicada.,Politriz 6 pol.; composto médio,https://www.kers.com.br/boinas-e-suportes,público
BOI-009,"Kers Boina Hyper Colmeia 6"" Agressiva",Boinas e Suportes,Hyper Colmeia 6,7908216807525,Linha Hyper com padrão hexagonal para distribuir o ar e reduzir calor superficial.,Corte em área ampla.,Profissional,Maior corte com construção voltada a controle térmico.,Pede refino posterior.,Ferramenta de produtividade para corte mais seguro.,Vai aquecer demais?,A proposta da linha Hyper é justamente reduzir calor superficial e estabilizar o polimento.,Politriz 6 pol.; composto de corte,https://www.kers.com.br/boinas-e-suportes,público
BOI-010,Kers Boina de Feltro com Velcro 5,Boinas e Suportes,Feltro,327,"Boina de feltro com velcro 5"".",Apoio a processos específicos de polimento.,Profissional,Linha dedicada de feltro.,Explicar uso específico.,Produto de nicho para processos específicos.,Para que serve feltro?,Para aplicações específicas; deve ser indicado conforme o processo do cliente.,Suporte compatível; composto,https://www.kers.com.br/boinas-e-suportes,público
BOI-011,Kers Boina de Feltro com Velcro 6,Boinas e Suportes,Feltro,328,"Boina de feltro com velcro 6"".",Apoio a processos específicos de polimento.,Profissional,Linha dedicada de feltro.,Explicar uso específico.,Produto de nicho para processos específicos.,Para que serve feltro?,Para aplicações específicas; deve ser indicado conforme o processo do cliente.,Suporte compatível; composto,https://www.kers.com.br/boinas-e-suportes,público
BOI-012,Kers Boina de Lã com Velcro 3,Boinas e Suportes,Lã,331,"Boina de lã com velcro 3"".",Corte em pequena área.,Profissional,Corte elevado em área pequena.,Pede refino posterior.,Ganha tempo em correções localizadas severas.,Lã não deixa acabamento pior?,A lã acelera o corte; o acabamento vem na etapa seguinte.,Composto de corte; boina de refino,https://www.kers.com.br/boinas-e-suportes,público
BOI-013,Kers Boina de Lã com Velcro 4,Boinas e Suportes,Lã,332,"Boina de lã com velcro 4"".",Corte em áreas pequenas/médias.,Profissional,Corte elevado com tamanho intermediário.,Pede refino posterior.,Boa opção de produtividade no corte.,Vai agredir demais?,"Usada corretamente, ela economiza tempo em defeitos mais severos.",Composto de corte; boina refino,https://www.kers.com.br/boinas-e-suportes,público
BOI-014,Kers Boina de Lã com Velcro 5,Boinas e Suportes,Lã,333,"Boina de lã com velcro 5"".",Corte em área ampla.,Profissional,Corte elevado em tamanho padrão 5.,Pede refino posterior.,Clássica para correção pesada com rapidez.,É melhor que espuma?,"Para corte pesado, geralmente sim; depois entra a espuma no refino.",Composto corte; boina suave,https://www.kers.com.br/boinas-e-suportes,público
BOI-015,Kers Boina de Lã com Velcro 6,Boinas e Suportes,Lã,334,"Boina de lã com velcro 6"".",Corte em área ampla.,Profissional,Maior cobertura e corte.,Exige máquina e técnica compatíveis.,Boa para grandes áreas com necessidade de produtividade.,Não fica grande demais?,"Para áreas grandes, a cobertura maior acelera o processo.",Politriz 6 pol.; composto corte,https://www.kers.com.br/boinas-e-suportes,público
BOI-016,Kers Cone de Espuma p/ Polimento Suave,Boinas e Suportes,Cone espuma,736,Cone de espuma para polimento versão suave.,Polimento em regiões específicas.,Profissional,Formato específico para áreas difíceis.,Não vender como acessório universal.,Boa extensão de portfólio para detalhamento fino.,Cone faz diferença?,"Em áreas e geometrias específicas, sim.",Suporte compatível; compostos,https://www.kers.com.br/boinas-e-suportes,público
BOI-017,Kers Cone de Espuma p/ Polimento Médio,Boinas e Suportes,Cone espuma,738,Cone de espuma para polimento versão média.,Polimento em regiões específicas.,Profissional,Formato específico para áreas difíceis.,Não vender como acessório universal.,Boa extensão de portfólio para detalhamento fino.,Cone faz diferença?,"Em áreas e geometrias específicas, sim.",Suporte compatível; compostos,https://www.kers.com.br/boinas-e-suportes,público
BOI-018,Kers Cone de Espuma p/ Polimento Médio Agressivo,Boinas e Suportes,Cone espuma,737,Cone de espuma para polimento versão médio agressivo.,Polimento em regiões específicas.,Profissional,Formato específico para áreas difíceis.,Não vender como acessório universal.,Boa extensão de portfólio para detalhamento fino.,Cone faz diferença?,"Em áreas e geometrias específicas, sim.",Suporte compatível; compostos,https://www.kers.com.br/boinas-e-suportes,público
BOI-019,Kers Cone de Espuma p/ Polimento Agressivo,Boinas e Suportes,Cone espuma,739,Cone de espuma para polimento versão agressiva.,Polimento em regiões específicas.,Profissional,Formato específico para áreas difíceis.,Exige refino posterior quando aplicável.,Boa extensão de portfólio para detalhamento fino.,Cone faz diferença?,"Em áreas e geometrias específicas, sim.",Suporte compatível; compostos,https://www.kers.com.br/boinas-e-suportes,público
BOI-020,Kers Cone de Espuma Ventilado p/ Polimento,Boinas e Suportes,Cone espuma ventilado,607,Cone de espuma ventilado para polimento.,Polimento em regiões específicas.,Profissional,Construção ventilada.,Explicar uso específico.,Boa opção para quem já usa cones e quer mais controle térmico.,Qual a vantagem de ser ventilado?,A ventilação ajuda na gestão de calor durante o trabalho.,Suporte compatível; compostos,https://www.kers.com.br/boinas-e-suportes,público
BOI-021,Kers Boina de Microfibra com Velcro Suave 3,Boinas e Suportes,Microfibra,286,Boina de microfibra com velcro suave 3 polegadas.,Refino e acabamento em detalhe.,Profissional; hobista,Linha em múltiplos tamanhos.,Escolher medida correta e etapa.,Boa opção para usuários que já trabalham com microfibra.,Qual tamanho eu levo?,3 para detalhes; 5 e 6 para áreas maiores.,Politriz compatível; compostos,https://www.kers.com.br/boinas-e-suportes,público
BOI-022,Kers Boina de Microfibra com Velcro Suave 5,Boinas e Suportes,Microfibra,285,Boina de microfibra com velcro suave 5 polegadas.,Refino e acabamento.,Profissional; hobista,Linha em múltiplos tamanhos.,Escolher medida correta e etapa.,Boa opção para usuários que já trabalham com microfibra.,Qual tamanho eu levo?,3 para detalhes; 5 e 6 para áreas maiores.,Politriz compatível; compostos,https://www.kers.com.br/boinas-e-suportes,público
BOI-023,Kers Boina de Microfibra com Velcro Suave 6,Boinas e Suportes,Microfibra,284,Boina de microfibra com velcro suave 6 polegadas.,Refino e acabamento.,Profissional; hobista,Linha em múltiplos tamanhos.,Escolher medida correta e etapa.,Boa opção para usuários que já trabalham com microfibra.,Qual tamanho eu levo?,3 para detalhes; 5 e 6 para áreas maiores.,Politriz compatível; compostos,https://www.kers.com.br/boinas-e-suportes,público
BOI-024,Kers Boina de Microfibra com Velcro Média 5,Boinas e Suportes,Microfibra,282,Boina de microfibra com velcro média 5 polegadas.,Correção moderada.,Profissional,Perfil intermediário da linha microfibra.,Explicar estágio de uso.,Boa opção coringa para microfibra.,Serve para todo cenário?,"É versátil, mas funciona melhor quando o defeito e o composto são compatíveis.",Politriz compatível; composto médio,https://www.kers.com.br/boinas-e-suportes,público
